用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入单位审核页面","1. 查看页面显示内容
2. 查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),快速搜索--公司名称,"1.已登录系统级账号
2.已进入单位审核页面","1. 输入单位名称
2. 按下回车键",1.搜索出对应的单位列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),快速搜索--法人姓名,"1.已登录系统级账号
2.已进入单位审核页面","1. 输入法人姓名
2. 按下回车键",1.搜索出对应的单位列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),快速搜索--手机号码,"1.已登录系统级账号
2.已进入单位审核页面","1. 输入手机号码
2. 按下回车键",1.搜索出对应的单位列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),刷新,"1.已登录系统级账号
2.已进入单位审核页面
3.已搜索出指定单位",1.点击页面顶部右侧“刷新”按钮,1.页面刷新，获取所有待审核单位列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有多页单位记录",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有多页单位记录",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有多页单位记录",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有多页单位记录",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有多页单位记录",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有多页单位记录",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有多页单位记录",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有多页单位记录",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),审核--通过,"1.已登录系统级账号
2.已进入单位审核页面","1.点击待审核记录右侧“审核”
2.点击弹出框页面“通过”","1.弹出审核页面，与用户申请填写信息一致
2.提示审核成功，点击确定后列表中无该申请记录
3.短信内容“对注册手机号码发送短信“您好，亲爱的{org_legal}，您在金豆云平台注册的{org_type}账号已审核通过，欢迎使用金豆云平台：http://www.jdytrip.cn””",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),审核--不通过（原因未超出200）,"1.已登录系统级账号
2.已进入单位审核页面","1.点击待审核记录右侧“审核”
2.点击弹出框页面“不通过”
3.输入不通过原因未超出200，点击确定","1.弹出审核页面，与用户申请填写信息一致
2.弹出填写不通过原因弹框
3.短信内容“您好，亲爱的{org_legal}，您在金豆云平台注册的{org_type}账号未通过，未通过原因：{}”
4.列表中无该条申请记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),审核--不通过（原因未等于200）,"1.已登录系统级账号
2.已进入单位审核页面","1.点击待审核记录右侧“审核”
2.点击弹出框页面“不通过”
3.输入不通过原因等于200，点击确定","1.弹出审核页面，与用户申请填写信息一致
2.弹出填写不通过原因弹框
3.短信内容“您好，亲爱的{org_legal}，您在金豆云平台注册的{org_type}账号未通过，未通过原因：{}”
4.列表中无该条申请记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),审核--不通过（原因超出200）,"1.已登录系统级账号
2.已进入单位审核页面","1.点击待审核记录右侧“审核”
2.点击弹出框页面“不通过”
3.输入不通过原因超出200，点击确定","1.弹出审核页面，与用户申请填写信息一致
2.弹出填写不通过原因弹框，自动截取前200字
3.短信内容“您好，亲爱的{org_legal}，您在金豆云平台注册的{org_type}账号未通过，未通过原因：{}”
4.列表中无该条申请记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),删除--是,"1.已登录系统级账号
2.已进入单位审核页面
3.列表中有待审核单位","1.点击列表右侧“删除”按钮
2.二次确认点击“是”","1.弹出删除确认框（内容参照UI）
2.删除单位信息成功，列表内无该单位",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】单位审核：单位注册后进行单位审核通过或不通过(#599),删除--否,"1.已登录系统级账号
2.已进入单位审核页面
3.列表中有待审核单位","1.点击列表右侧“删除”按钮
2.二次确认点击“否”","1.弹出删除确认框（内容参照UI）
2.删除单位信息失败，列表仍有该单位",3,功能测试,功能测试阶段
